Program:    MAESPA                                                                          
Water balance parameters:Tumbarumba example water balance                       
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: soil sensible heat flux                        W m-2
qe: soil latent heat flux                          W m-2
qn: soil net radiation                             W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      2     10     2860.6384      1360.6385         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0117         2.9966         0.0037         0.0186         0.3944         1.0000        75.1220       -25.3866       -50.3815         0.6469       388.4433       399.3986       511.3194        -0.9141         0.4698        19.1400        16.7703        16.7382         0.2990         0.3514            NaN
      2     11     2860.6213      1360.6216         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0117         2.9966         0.0037         0.0151         0.3944         1.0000        81.4262       -20.7250       -63.6540         2.9533       370.0390       355.0509       439.4083       -42.8906         0.4698        18.7700        16.3177        16.5464         0.2987         0.3514         0.0000
      2     12     2860.5725      1360.5728         0.0000         0.0000         0.0000         0.0000         0.0000         0.0306         0.0000         0.0018         0.0000        -0.0117         2.9966         0.0037         0.0165         0.3944         1.0000        93.5475       -22.5058       -72.8495         1.8086       359.0432       365.6889       478.5773       -14.0249         0.4698        18.4400        16.2888        16.4196         0.2982         0.3513         4.7457
      2     13     2860.4500      1360.4501         0.0000         0.0000         0.0000         0.0000         0.0000         0.1078         0.0000         0.0018         0.0000        -0.0117         2.9966         0.0037         0.0132         0.3944         1.0000       156.1324       -18.0718      -152.9915        14.9309       252.6077       400.0092       595.0073        22.6930         0.4698        18.2400        14.2913        15.8533         0.2976         0.3510         3.7860
      2     14     2860.2532      1360.2534         0.0000         0.0000         0.0000         0.0000         0.0000         0.1864         0.0000         0.0018         0.0000        -0.0117         2.9966         0.0037         0.0085         0.3943         1.0000       166.0699       -11.6739      -171.7197        17.3226       225.1263       521.6470       754.5209       137.4688         0.4698        18.8300        13.3820        15.2989         0.2969         0.3504         2.5492
      2     15     2859.9548      1359.9551         0.0000         0.0000         0.0000         0.0000         0.0000         0.2919         0.0000         0.0018         0.0000        -0.0117         2.9966         0.0037         0.0048         0.3943         1.0000       187.3747        -6.5524      -204.8277        24.0060       177.2337       630.4138       904.9718       241.4931         0.4698        19.8400        11.8705        14.5906         0.2959         0.3496         2.2760
      2     16     2859.5430      1359.5431         0.0000         0.0000         0.0000         0.0000         0.0000         0.4101         0.0000         0.0018         0.0000        -0.0117         2.9966         0.0037        -0.0000         0.3942         1.0000       198.0391         0.0000      -239.9584        41.9192       117.0117       734.3368      1052.9216       348.8720         0.4698        20.8400         8.5956        13.3604         0.2947         0.3484         2.1916
      2     17     2859.0520      1359.0521         0.0000         0.0000         0.0000         0.0000         0.0000         0.4890         0.0000         0.0018         0.0000        -0.0118         2.9966         0.0037        -0.0000         0.3941         1.0000       259.1092         0.0000      -293.8321        34.7225        52.4426       839.6951      1194.4031       442.3752         0.4698        22.1800         8.3858        12.5635         0.2932         0.3470         2.1579
      2     18     2858.4492      1358.4495         0.0000         0.0000         0.0000         0.0000         0.0000         0.6009         0.0000         0.0018         0.0000        -0.0118         2.9966         0.0037        -0.0000         0.3939         1.0000       311.5630         0.0000      -344.5680        33.0047       -10.4104       942.4862      1347.4080       535.2813         0.4698        23.9800         7.8248        11.9060         0.2913         0.3453         2.1411
      2     19     2857.7805      1357.7806         0.0000         0.0000         0.0000         0.0000         0.0000         0.6656         0.0000         0.0018         0.0000        -0.0118         2.9965         0.0038         0.0015         0.3938         1.0000       402.0741        -2.0329      -410.8534        10.8122       -74.0053      1039.7454      1495.2976       608.2811         0.4698        25.2600        10.3495        12.0801         0.2892         0.3433         2.1335
      2     20     2857.0732      1357.0736         0.0000         0.0000         0.0000         0.0000         0.0000         0.7004         0.0000         0.0018         0.0000        -0.0118         2.9965         0.0038         0.0049         0.3936         1.0000       486.7110        -6.6821      -475.3576        -4.6727      -135.8222      1124.0310      1646.2701       669.5942         0.4698        25.6500        12.7548        12.7067         0.2870         0.3413         2.1256
      2     21     2856.2871      1356.2874         0.0000         0.0000         0.0000         0.0000         0.0000         0.7787         0.0000         0.0018         0.0000        -0.0119         2.9965         0.0038         0.0057         0.3934         1.0000       538.6908        -7.7746      -526.7609        -4.1548      -193.0063      1204.5226      1790.3278       737.1888         0.4698        26.6200        13.3086        13.1737         0.2845         0.3391         2.1285
      2     22     2855.4250      1355.4254         0.0000         0.0000         0.0000         0.0000         0.0000         0.8551         0.0000         0.0018         0.0000        -0.0119         2.9964         0.0038         0.0052         0.3931         1.0000       569.7529        -7.1178      -562.0960        -0.5383      -234.9145      1264.3035      1889.9929       789.9120         0.4698        27.6700        13.2520        13.4319         0.2818         0.3366         2.1353
      2     23     2854.5088      1354.5092         0.0000         0.0000         0.0000         0.0000         0.0000         0.9114         0.0000         0.0018         0.0000        -0.0119         2.9964         0.0038         0.0029         0.3929         1.0000       570.9099        -3.9819      -574.1782         7.2509      -254.3383      1297.6726      1939.1656       823.7642         0.4698        28.4200        12.3731        13.3802         0.2790         0.3340         2.1347
      2     24     2853.5454      1353.5458         0.0000         0.0000         0.0000         0.0000         0.0000         0.9545         0.0000         0.0018         0.0000        -0.0120         2.9964         0.0038         0.0072         0.3926         1.0000       638.8696        -9.8353      -620.8293        -8.2048      -296.0275      1360.6536      2031.7413       867.7559         0.4698        29.4000        14.5836        13.9037         0.2759         0.3312         2.1344
      2     25     2852.5168      1352.5171         0.0000         0.0000         0.0000         0.0000         0.0000         1.0222         0.0000         0.0018         0.0000        -0.0120         2.9963         0.0038         0.0046         0.3923         1.0000       631.2642        -6.2904      -627.5443         2.5720      -310.2864      1389.9971      2086.5000       899.2551         0.4698        30.3300        13.5246        13.9443         0.2727         0.3282         2.1344
      2     26     2851.4792      1351.4796         0.0000         0.0000         0.0000         0.0000         0.0000         1.0259         0.0000         0.0018         0.0000        -0.0121         2.9963         0.0038         0.0099         0.3920         1.0000       662.5266       -13.5383      -637.4830       -11.5043      -309.1533      1398.9175      2087.7175       896.6941         0.4698        31.1000        15.6486        14.5045         0.2694         0.3253         2.1345
      2     27     2850.4180      1350.4182         0.0000         0.0000         0.0000         0.0000         0.0000         1.0444         0.0000         0.0018         0.0000        -0.0121         2.9962         0.0038         0.0151         0.3917         1.0000       671.3570       -20.6188      -631.7032       -19.0356      -291.9361      1394.1815      2081.4661       884.7275         0.4698        32.2900        17.3399        15.2448         0.2660         0.3223         2.1349
      2     28     2849.3792      1349.3794         0.0000         0.0000         0.0000         0.0000         0.0000         1.0130         0.0000         0.0018         0.0000        -0.0121         2.9962         0.0039         0.0243         0.3914         1.0000       686.1407       -33.0824      -623.6951       -29.3624      -268.0265      1366.4475      2043.9197       848.5076         0.4698        32.4300        19.6440        16.2522         0.2624         0.3193         2.1355
      2     29     2848.3274      1348.3276         0.0000         0.0000         0.0000         0.0000         0.0000         1.0240         0.0000         0.0018         0.0000        -0.0122         2.9961         0.0039         0.0259         0.3911         1.0000       649.8195       -35.3310      -592.1306       -22.3580      -231.0285      1331.9592      1992.6046       819.4503         0.4698        33.2900        19.6225        16.8539         0.2588         0.3164         2.1372
      2     30     2847.3149      1347.3153         0.0000         0.0000         0.0000         0.0000         0.0000         0.9766         0.0000         0.0018         0.0000        -0.0122         2.9961         0.0040         0.0339         0.3908         1.0000       640.9722       -46.1691      -563.5379       -31.2659      -184.7023      1278.8445      1900.3545       763.0209         0.4698        33.6800        21.5970        17.7330         0.2552         0.3136         2.1415
      2     31     2846.3577      1346.3580         0.0000         0.0000         0.0000         0.0000         0.0000         0.9147         0.0000         0.0018         0.0000        -0.0123         2.9961         0.0040         0.0408         0.3905         1.0000       619.0947       -55.3638      -526.0893       -37.6409      -128.3012      1213.2146      1799.7474       695.9516         0.4698        33.9100        23.4807        18.7413         0.2517         0.3109         2.1434
      2     32     2845.4607      1345.4611         0.0000         0.0000         0.0000         0.0000         0.0000         0.8482         0.0000         0.0018         0.0000        -0.0123         2.9960         0.0041         0.0471         0.3902         1.0000       586.5557       -63.9072      -482.0320       -40.6170       -66.4454      1135.9070      1682.6597       620.5294         0.4698        34.0800        24.9843        19.7371         0.2483         0.3085         2.1515
      2     33     2844.6396      1344.6401         0.0000         0.0000         0.0000         0.0000         0.0000         0.7679         0.0000         0.0018         0.0000        -0.0123         2.9960         0.0042         0.0513         0.3900         1.0000       543.1437       -69.4987      -432.2081       -41.4376         0.0350      1047.1768      1547.5664       536.8705         0.4698        34.1300        26.1482        20.6513         0.2450         0.3062         2.1691
      2     34     2843.8972      1343.8976         0.0000         0.0000         0.0000         0.0000         0.0000         0.6892         0.0000         0.0018         0.0000        -0.0124         2.9959         0.0042         0.0515         0.3898         1.0000       489.8499       -69.7935      -381.8382       -38.2172        62.3861       956.2599      1412.5798       455.2634         0.4698        34.1300        26.6021        21.3494         0.2419         0.3043         2.2087
      2     35     2843.2395      1343.2400         0.0000         0.0000         0.0000         0.0000         0.0000         0.6012         0.0000         0.0018         0.0000        -0.0124         2.9959         0.0043         0.0544         0.3895         1.0000       448.1089       -73.6326      -336.8634       -37.6129       119.6781       865.4940      1277.7627       372.4677         0.4698        33.8400        27.2417        21.9713         0.2391         0.3025         2.2726
      2     36     2842.6709      1342.6714         0.0000         0.0000         0.0000         0.0000         0.0000         0.5132         0.0000         0.0018         0.0000        -0.0124         2.9959         0.0044         0.0539         0.3893         1.0000       401.7756       -72.9030      -294.9973       -33.8757       169.3940       773.6194      1149.6594       291.8031         0.4698        33.4700        27.3089        22.4023         0.2365         0.3010         2.4013
      2     37     2842.2209      1342.2214         0.0000         0.0000         0.0000         0.0000         0.0000         0.3940         0.0000         0.0018         0.0000        -0.0124         2.9959         0.0045         0.0541         0.3892         1.0000       376.6816       -73.2033      -269.8199       -33.6570       201.9414       673.4999      1025.2881       201.2437         0.4698        32.5400        27.7337        22.8083         0.2343         0.2999         2.7446
      2     38     2841.8411      1341.8417         0.0000         0.0000         0.0000         0.0000         0.0000         0.3342         0.0000         0.0018         0.0000        -0.0125         2.9958         0.0046         0.0437         0.3890         1.0000       399.6255       -59.2333      -323.9804       -16.4119       122.4324       564.1375       996.1868       117.0004         0.4698        31.2900        25.4202        22.5166         0.2325         0.2989         4.7193
      2     39     2841.7849      1341.7854         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0125         2.9958         0.0046         0.0544         0.3889         1.0000       146.3484       -73.5917       -42.4604       -30.2953       466.8260       446.0532       492.9505       -12.8224         0.4698        29.6500        27.3568        22.8734         0.2314         0.2989         0.0000
      2     40     2841.7383      1341.7389         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0125         2.9958         0.0047         0.0446         0.3889         1.0000       153.4689       -60.4492       -78.4700       -14.5501       409.8077       362.9178       432.6978       -83.5019         0.4698        27.9300        25.2035        22.5623         0.2305         0.2989         0.0000
      2     41     2841.6965      1341.6970         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0125         2.9958         0.0048         0.0402         0.3889         1.0000       114.7607       -54.5803       -52.5652        -7.6161       430.7982       439.4691       569.4236         1.1123         0.4698        26.5500        23.7843        22.0649         0.2297         0.2989            NaN
      2     42     2841.6602      1341.6608         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0125         2.9958         0.0048         0.0346         0.3889         1.0000       103.1745       -47.0849       -52.6952        -3.3945       422.9016       432.0244       559.4210         0.2497         0.4698        25.2000        22.6105        21.5034         0.2290         0.2989            NaN
      2     43     2841.6252      1341.6260         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0125         2.9958         0.0049         0.0329         0.3889         1.0000       100.4531       -44.7866       -54.8160        -0.8506       414.0752       423.0464       549.4685        -3.3466         0.4698        23.7400        21.6403        20.9395         0.2283         0.2989            NaN
