Program:    MAESPA                                                                          
Water balance parameters:Tumbarumba example water balance                       
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: soil sensible heat flux                        W m-2
qe: soil latent heat flux                          W m-2
qn: soil net radiation                             W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      1     46     2860.9326      1360.9326         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0117         2.9966         0.0033         0.0369         0.3945         1.0000       113.3740       -50.3084       -54.0697        -8.9954       409.9111       420.4902       538.9207        -1.7583         0.4698        22.9000        20.8608        19.4416         0.3044         0.3514            NaN
      1     47     2860.9004      1360.9005         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0117         2.9966         0.0033         0.0301         0.3945         1.0000        96.6684       -41.0726       -53.8358        -1.7602       402.6913       413.5914       540.4734        -2.2864         0.4698        21.6300        19.6904        19.0597         0.3038         0.3514            NaN
      1     48     2860.8738      1360.8738         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0117         2.9966         0.0033         0.0251         0.3945         1.0000        83.5633       -34.2281       -51.6519         2.3169       399.1891       410.2267       532.4581        -0.4904         0.4698        21.0100        18.7319        18.6013         0.3033         0.3514            NaN
      2      1     2860.8503      1360.8503         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0117         2.9966         0.0034         0.0215         0.3945         1.0000        73.9645       -29.3843       -48.5059         3.9244       398.5809       409.6599       526.1621         2.6060         0.4698        20.9000        18.0458        18.1592         0.3029         0.3514            NaN
      2      2     2860.8250      1360.8251         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0117         2.9966         0.0034         0.0236         0.3944         1.0000        86.9054       -32.1642       -51.8196        -2.9207       397.9902       409.1366       521.7664        -0.7291         0.4698        20.7900        18.5729        18.0129         0.3024         0.3514            NaN
      2      3     2860.8005      1360.8005         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0117         2.9966         0.0034         0.0228         0.3944         1.0000        87.1267       -31.1867       -53.1758        -2.7647       395.3379       406.5598       524.9446        -2.4076         0.4698        20.3200        18.4048        17.8657         0.3020         0.3514            NaN
      2      4     2860.7771      1360.7772         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0117         2.9966         0.0035         0.0215         0.3944         1.0000        80.4751       -29.4377       -52.1912         1.1532       392.0980       403.1705       522.8959        -2.0584         0.4698        19.7700        17.7021        17.5974         0.3015         0.3514            NaN
      2      5     2860.7515      1360.7516         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0117         2.9966         0.0035         0.0236         0.3944         1.0000        89.4223       -32.2212       -52.6741        -4.5263       394.8921       405.8660       518.5492        -2.2208         0.4698        20.2700        18.2397        17.5627         0.3010         0.3514            NaN
      2      6     2860.7292      1360.7295         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0117         2.9966         0.0035         0.0202         0.3944         1.0000        76.6829       -27.6167       -50.6430         1.5777       391.6564       402.6626       521.5687        -0.6428         0.4698        19.7000        17.3386        17.3119         0.3006         0.3514            NaN
      2      7     2860.7063      1360.7065         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0117         2.9966         0.0036         0.0212         0.3944         1.0000        84.9243       -29.0262       -53.6190        -2.2790       390.0041       401.0938       515.6689        -3.7830         0.4698        19.4000        17.6357        17.2331         0.3002         0.3514            NaN
      2      8     2860.6816      1360.6819         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0117         2.9966         0.0036         0.0229         0.3944         1.0000        84.1220       -31.3286       -53.1349         0.3415       387.7681       398.3773       515.9302        -4.1148         0.4698        19.0600        17.1845        17.0676         0.2998         0.3514            NaN
      2      9     2860.6589      1360.6591         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0117         2.9966         0.0036         0.0211         0.3944         1.0000        77.4603       -28.8165       -50.8120         2.1679       387.8683       398.4568       512.9814        -1.7976         0.4698        19.0800        16.7592        16.8624         0.2993         0.3514            NaN
